FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
276;BDCSURCO0000000009598143;Ecouflant;49129;1759;3843;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49129
277;BDCSURCO0000000009597550;Ecuillé;49130;1254;616;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49130
278;BDCSURCO0000000009600108;Epieds;49131;2739;734;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49131
279;BDCSURCO0000000009597547;Etriché;49132;1983;1525;49; ; ;Communauté de communes Anjou Loir et Sarthe;49132
280;BDCSURCO0000000009597857;Feneu;49135;2591;2221;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49135
281;BDCSURCO0000000009598414;Les Bois d'Anjou;49138;6030;2591;49;Les Bois d'Anjou;CN;Communauté de communes Beaugeois Vallée;49138
282;BDCSURCO0000000009599860;Fontevraud-l'Abbaye;49140;1495;1539;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49140
283;BDCSURCO0000000009598154;Freigné;49144;6542;1143;49; ; ;Anjou Bleu Communauté;49144
284;BDCSURCO0000000009599301;Gennes Val de Loire;49149;10554;5096;49;Gennes Val de Loire;CN;Communauté d'Agglomération Saumur Val de Loire;49149
285;BDCSURCO0000000009597859;Grez-Neuville;49155;2767;1461;49; ; ;Communauté de communes Vallées du Haut-Anjou;49155
286;BDCSURCO0000000009597545;Huillé;49159;1272;544;49; ; ;Communauté de communes Anjou Loir et Sarthe;49159
287;BDCSURCO0000000009598729;Ingrandes-Le Fresne-sur-Loire;49160;1271;2561;49;Ingrandes-Le Fresne-sur-Loire;CN;Communauté de communes du Pays d'Ancenis;49160
288;BDCSURCO0000000009597222;La Jaille-Yvon;49161;1283;314;49; ; ;Communauté de communes Vallées du Haut-Anjou;49161
289;BDCSURCO0000000009598134;Jarzé Villages;49163;6108;2756;49;Jarzé Villages;CN;Communauté de communes Anjou Loir et Sarthe;49163
290;BDCSURCO0000000009598716;Les Garennes-sur-Loire;49167;2528;4423;49;Les Garennes-sur-Loire;CN;Communauté de communes Loire Layon Aubance;49167
291;BDCSURCO0000000009597549;Juvardeil;49170;1918;800;49; ; ;Communauté de communes Vallées du Haut-Anjou;49170
